Factor X,Robot efficiency index
0.985650454,4.891887105
0.242055272,2.677453276
0.672135547,3.95716725
0.761619615,4.198459769
0.237637544,2.717764795
0.728216349,4.101554034
0.367783133,3.130395081
0.632305831,3.891893681
0.633529711,3.876694328
0.535774684,3.516567686
0.09028977,2.213192177
0.835302496,4.581446609
0.320780065,3.012431914
0.18651851,2.461800007
0.040775142,2.132258655
0.590892943,3.847817542
0.677564362,3.865752557
0.016587829,2.104099506
0.512093058,3.470016799
0.226495775,2.736547192
0.64517279,3.859192456
0.174366429,2.342611077
0.690937738,3.910058971
0.386735346,3.165014534
0.936729989,4.836162216
0.137520944,2.32213117
0.341066351,3.087058299
0.113473521,2.174268557
0.924693618,4.767472875
0.877339353,4.51091644
0.257941628,2.708641272
0.659984046,3.984692005
0.8172222,4.365625264
0.555200812,3.62714688
0.529650578,3.689581016
0.241852291,2.667867686
0.093102768,2.362877515
0.897215758,4.578676588
0.900418057,4.754234589
0.633101457,4.043461234
0.339029791,2.769924923
0.349209575,2.967939198
0.725955679,4.235574249
0.89711026,4.671026241
0.887086424,4.69837386
0.779875546,4.279228119
0.642031646,3.934753917
0.084139965,2.236852171
0.161628714,2.601664348
0.898554189,4.72110465
0.60642906,3.853047445
0.009197052,1.986403458
0.101471543,2.255654006
0.663501769,3.947249489
0.005061584,2.054629966
0.160808051,2.440325706
0.548733789,3.675178854
0.691895198,4.283225673
0.65196126,4.042996249
0.224269309,2.640205575
0.712179221,4.256659056
0.237249087,2.670939725
0.325399698,2.772386641
0.746491405,4.138665584
0.649632899,3.761819505
0.84922341,4.512518883
0.657612892,3.974680515
0.568308603,3.872569541
0.093674768,2.313717041
0.367715803,3.081237356
0.265202368,2.878547661
0.243989643,2.510855399
0.973010555,4.94259312
0.393097725,3.256379693
0.892046555,4.528281041
0.631138626,4.007791282
0.794811304,4.418283551
0.502637093,3.466382488
0.576903885,3.79398984
0.492517694,3.704622367
0.195242988,2.603915589
0.722452115,4.192178404
0.280772362,2.796380997
0.024315966,1.987963462
0.645472296,4.019450469
0.177110679,2.445723656
0.940458584,4.828532377
0.953928577,4.814019986
0.91486439,4.792491153
0.3701587,3.143842311
0.015456617,2.150123844
0.928318563,4.733954048
0.428184148,3.257564951
0.966654819,4.802088086
0.963619977,4.846430605
0.853009455,4.596758416
0.294448892,2.959045538
0.385097729,3.063076653
0.851136672,4.640370607
0.316922005,3.086329801
0.169492747,2.54982173
0.556801262,3.858083369
0.936154774,4.731085403
0.696029797,3.96362392
0.57006117,3.532311485
0.097176494,2.441133912
0.615007227,3.910458246
0.99005385,4.964603083
0.140084015,2.448248908
0.518329652,3.442440052
0.877373072,4.876694414
0.740768618,4.235227971
0.697015741,4.101986702
0.702484084,4.180028914
0.359491151,3.126574377
0.293591844,2.903163935
0.809361155,4.349036021
0.810113395,4.47748702
0.867072319,4.789419405
0.913240553,4.874263662
0.511342399,3.693345859
0.501516295,3.453427316
0.798295179,4.295925055
0.649963931,3.9373131
0.701966877,4.111473123
0.795792669,4.49679716
0.890005342,4.500769562
0.337995157,3.166940503
0.375582953,3.110948068
0.09398194,2.239257713
0.578280141,3.633629985
0.035942274,1.942341154
0.465598018,3.479111113
0.542644635,3.635265701
0.286541252,2.730627666
0.590833261,3.642991905
0.03050025,2.05792228
0.037348189,2.278946719
0.822600561,4.441842547
0.360190641,2.930257629
0.127060513,2.356607232
0.52224326,3.539457423
0.769993553,4.040291995
0.215821027,2.642033596
0.622890476,3.845577974
0.085347465,2.325663031
0.051681721,2.339940773
0.531354632,3.706720398
0.540635122,3.595016496
0.637429901,3.801637114
0.726091334,4.435609981
0.975852079,4.933478082
0.516300348,3.550293974
0.322956473,2.96645691
0.795186195,4.40536706
0.270832251,2.798060713
0.438971421,3.259548061
0.078456381,2.18068325
0.025350743,2.072776903
0.962648415,4.833602767
0.835980121,4.436655783
0.695974206,4.098565641
0.408952944,3.201361112
0.17329432,2.670282259
0.156437043,2.204214147
0.250242898,2.85987938
0.549226665,3.772288513
0.714595923,3.936448745
0.660197377,3.946323371
0.279933897,2.802657604
0.954865281,4.723844673
0.737896917,4.135909081
0.554354053,3.552004573
0.611720746,4.010389283
0.419600062,3.352368027
0.24773099,2.870348478
0.355972679,3.140085242
0.75784611,4.160633154
0.014393489,1.990728439
0.116072641,2.397155378
0.046002642,2.015795145
0.040728802,2.19348625
0.855460584,4.542349212
0.703657859,4.073491497
0.474173829,3.493617484
0.097834161,2.337928813
0.491615875,3.438751009
0.473471771,3.536348293
0.17320187,2.411499277
0.433851649,3.363148508
0.398504734,3.254824329
0.615850098,3.81659565
0.635093651,3.937894255
0.04530401,2.010800672
0.374612615,3.216240546
0.625859916,3.859089533
0.503136259,3.457136474
0.856489841,4.674370446
0.658693632,3.905646526
0.162934427,2.347957152
0.070568747,2.056043325
0.642419278,3.98785883
0.026511311,1.951490996
0.585775581,3.932806162
0.940230241,4.612497783
0.575474178,3.89606817
0.388169926,3.185611525
0.643288218,3.920193344
0.45825289,3.320266763
0.545616789,3.676763979
0.941464809,4.820630956
0.386102638,3.268638102
0.961190564,4.894994456
0.905350642,4.731082102
0.195791135,2.551012183
0.069361301,2.20238934
0.100778001,2.333114181
0.018221826,1.883648638
0.094442961,2.14851034
0.683006773,4.12334673
0.071188648,2.230652489
0.31897563,2.938528557
0.844875311,4.536469326
0.023271936,2.104573978
0.814468483,4.38942948
0.281854775,2.767733852
0.118164828,2.374079008
0.696737165,3.992374218
0.628942847,3.927653816
0.877472014,4.46215768
0.735071044,4.308128695
0.80348093,4.457702539
0.282034573,2.871706691
0.177439544,2.63058773
0.750614752,4.418391699
0.806834739,4.521941224
0.990505142,4.787428003
0.412617677,3.109895334
0.372018086,3.0535724
0.776412961,4.331847987
0.34080354,3.074176523
0.930757326,4.719697595
0.858412752,4.593914932
0.428994027,3.211443789
0.750871068,4.191461423
0.754542874,4.122962513
0.103123869,2.217048282
0.902552907,4.572490259
0.505252372,3.418169792
0.826457466,4.584736578
0.320049601,2.865208914
0.895523228,4.949807892
0.389201679,3.216936826
0.010837651,2.050996567
0.905381976,4.630310151
0.091286677,2.343891018
0.319313638,2.90037713
0.950061967,4.862386883
0.950607147,5.107829895
0.573437888,3.710707674
0.631837212,4.010438969
0.448445522,3.275018923
0.293210772,2.876133466
0.328664545,3.1630737
0.672518456,3.954858662
0.752374529,4.438368444
0.791579044,4.445512325
0.789618143,4.312607751
0.091206103,2.336859083
0.494420305,3.580516359
0.05755876,2.234857276
0.549528882,3.491564175
0.441530501,3.251877787
0.887704183,4.638360685
0.350915013,3.045301695
0.117067016,2.413268259
0.142991682,2.446745146
0.761510632,4.150997459
0.618218063,3.892673975
0.101122676,2.364426603
0.084106806,2.308299463
0.700969131,4.210985467
0.072763006,2.301681235
0.821860059,4.511498186
0.706242227,4.11171011
0.081348781,2.077950249
0.084837714,2.297474964
0.986639579,4.980687504
0.374270796,3.149970271
0.370642147,2.984251584
0.812799567,4.330293048
0.947248577,4.947061017
0.986001064,4.954047676
0.753378185,4.328284626
0.376259586,3.131610594
0.083500717,2.253477764
